graph_size_n,total_edges,total_iterations,total_algorithm_time,avg_iteration_time,total_dijkstra_time,avg_dijkstra_time,total_vertices_processed,avg_vertices_per_dijkstra,min_iteration_time,max_iteration_time,std_iteration_time,min_dijkstra_time,max_dijkstra_time,std_dijkstra_time,avg_path_length,min_path_length,max_path_length,avg_path_weight,total_potential_updates,avg_potential_updates
300,90000,300,0.098142,0.000327,0.045538,0.000152,180000,600.000000,0.000258,0.000525,0.000019,0.000071,0.000188,0.000016,5.040000,2,60,1433.353333,180000,600.000000
300,90000,300,0.098598,0.000329,0.045819,0.000153,180000,600.000000,0.000259,0.000499,0.000018,0.000071,0.000183,0.000015,4.606667,2,44,-205790.330000,180000,600.000000
300,90000,300,0.098959,0.000330,0.046059,0.000154,180000,600.000000,0.000255,0.000499,0.000019,0.000071,0.000185,0.000016,5.260000,2,56,1584.906667,180000,600.000000
300,90000,300,0.098068,0.000327,0.045327,0.000151,180000,600.000000,0.000261,0.000499,0.000019,0.000072,0.000186,0.000016,4.973333,2,54,-222335.436667,180000,600.000000
300,90000,300,0.097892,0.000326,0.045601,0.000152,180000,600.000000,0.000247,0.000524,0.000019,0.000073,0.000188,0.000016,5.486667,2,52,1697.523333,180000,600.000000
300,90000,300,0.097767,0.000326,0.045399,0.000151,180000,600.000000,0.000257,0.000519,0.000018,0.000072,0.000190,0.000015,4.440000,2,42,-198559.680000,180000,600.000000
300,90000,300,0.097613,0.000325,0.045144,0.000150,180000,600.000000,0.000259,0.000518,0.000020,0.000073,0.000191,0.000017,5.000000,2,62,1430.536667,180000,600.000000
300,90000,300,0.098713,0.000329,0.046086,0.000154,180000,600.000000,0.000275,0.000509,0.000018,0.000078,0.000191,0.000015,5.633333,2,58,-251824.933333,180000,600.000000
300,90000,300,0.098081,0.000327,0.045620,0.000152,180000,600.000000,0.000268,0.000499,0.000018,0.000072,0.000207,0.000014,5.406667,2,70,1543.886667,180000,600.000000
300,90000,300,0.097396,0.000325,0.045099,0.000150,180000,600.000000,0.000264,0.000493,0.000019,0.000072,0.000195,0.000016,4.880000,2,42,-218422.896667,180000,600.000000
300,90000,300,0.097399,0.000325,0.045043,0.000150,180000,600.000000,0.000261,0.000493,0.000018,0.000072,0.000189,0.000016,4.546667,2,80,1335.913333,180000,600.000000
300,90000,300,0.097642,0.000325,0.045341,0.000151,180000,600.000000,0.000256,0.000515,0.000019,0.000079,0.000189,0.000016,5.986667,2,82,-267754.636667,180000,600.000000
